Sales Year Month,311 Neighborhood,Analysis Neighborhood,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List Pct
201802,Russian Hill,Russian Hill,2600000.0,12,35.0,31.0,60.0,99.3
201802,Seacliff,Seacliff,3525000.0,2,4.0,4.0,139.0,95.1
201802,Sherwood Forest,West of Twin Peaks,1645000.0,4,8.0,2.0,15.0,119.9
201802,Showplace Square,Mission Bay,347000.0,3,2.0,1.0,38.0,100.2
201802,Silver Terrace,Bayview Hunters Point,858000.0,9,13.0,7.0,22.0,108.8
201802,South Beach,Financial District/South Beach,1162000.0,94,127.0,74.0,37.0,99.9
201802,South of Market,South of Market,1002000.0,208,250.0,138.0,46.666666666666664,101.86666666666667
201802,St. Francis Wood,West of Twin Peaks,3044000.0,4,2.0,0.0,26.0,101.4
201802,St. Mary's Park,Bernal Heights,1263000.0,6,4.0,1.0,13.0,119.0
201802,Sunnydale,Visitacion Valley,830000.0,1,1.0,0.0,21.0,144.9
201802,Sunnyside,West of Twin Peaks,1520000.0,11,10.0,5.0,14.0,124.7
201802,Sutro Heights,Outer Richmond,1448000.0,3,3.0,2.0,31.0,109.9
201802,Telegraph Hill,North Beach,1012000.0,8,8.0,2.0,34.0,99.2
201802,Tenderloin,Tenderloin,723000.0,2,3.0,3.0,85.0,107.9
201802,Union Street,Marina,2145000.0,15,7.0,5.0,22.0,104.7
201802,University Mound,Excelsior,990000.0,1,3.0,2.0,9.0,113.9
201802,Upper Market,Noe Valley,1400000.0,13,17.0,8.0,22.0,111.5
201802,Visitacion Valley,Visitacion Valley,895000.0,12,8.0,6.0,27.0,105.9
201802,West Portal,West of Twin Peaks,2018000.0,6,3.0,1.0,24.5,117.25
201802,Western Addition,Western Addition,1009500.0,12,29.0,18.0,37.0,115.75
201802,Westwood Highlands,West of Twin Peaks,1700000.0,1,1.0,0.0,5.0,121.9
201802,Westwood Park,West of Twin Peaks,1218000.0,6,6.0,6.0,15.0,99.2
201803,Alamo Square,Hayes Valley,1023000.0,2,4.0,2.0,134.0,104.4
201803,Anza Vista,Lone Mountain/USF,2263000.0,2,1.0,0.0,86.0,97.6
201803,Aquatic Park / Ft. Mason,Marina,1568000.0,3,4.0,2.0,19.0,101.7
201803,Ashbury Heights,Haight Ashbury,2505000.0,7,17.0,3.0,15.0,116.65
201803,Balboa Terrace,West of Twin Peaks,2650000.0,2,0.0,0.0,78.0,104.1
201803,Bayview,Bayview Hunters Point,875000.0,11,18.0,8.0,18.0,110.4
201803,Bernal Heights,Bernal Heights,1871500.0,47,79.0,27.0,40.5,114.75
201803,Bret Harte,Bayview Hunters Point,925000.0,4,7.0,6.0,24.0,119.1
201803,Buena Vista,Haight Ashbury,1305000.0,7,16.0,8.0,17.0,117.1
201803,Candlestick Point SRA,Bayview Hunters Point,793000.0,4,8.0,7.0,45.0,104.7
201803,Castro,Castro/Upper Market,1430000.0,5,8.0,4.0,18.0,107.2
201803,Cathedral Hill,Western Addition,875000.0,16,29.0,21.0,14.0,102.5
201803,Cayuga,Outer Mission,1010000.0,5,6.0,1.0,20.0,120.6
201803,Chinatown,Chinatown,2760000.0,1,3.0,3.0,141.0,95.3
201803,Civic Center,Tenderloin,653000.0,2,1.0,0.0,34.0,103.9
201803,Clarendon Heights,Twin Peaks,1780000.0,6,11.0,5.0,32.0,110.4
201803,Cole Valley,Haight Ashbury,1898000.0,2,4.0,1.0,14.0,107.8
201803,Corona Heights,Haight Ashbury,2510000.0,4,10.0,2.0,16.0,103.5
201803,Cow Hollow,Marina,5470000.0,4,11.0,8.0,52.0,107.2
201803,Crocker Amazon,Excelsior,1060000.0,8,12.0,5.0,16.0,117.6
201803,Diamond Heights,Noe Valley,875000.0,9,14.0,5.0,33.0,109.8
201803,Dolores Heights,Mission,2420000.0,20,36.0,15.0,19.5,117.6
201803,Downtown / Union Square,Financial District/South Beach,1120000.0,5,11.0,8.0,103.0,99.6
201803,Duboce Triangle,Castro/Upper Market,2228000.0,10,12.0,5.0,16.0,113.5
201803,Eureka Valley,Castro/Upper Market,2004000.0,20,25.0,7.0,16.0,110.3
201803,Excelsior,Excelsior,1025000.0,15,24.0,13.0,16.0,111.2
201803,Fairmount,Glen Park,1865000.0,9,20.0,7.0,13.0,114.6
201803,Fisherman's Wharf,North Beach,1720000.0,3,4.0,1.0,13.0,111.7
201803,Forest Hill,West of Twin Peaks,2397000.0,1,6.0,5.0,21.0,104.4
201803,Forest Knolls,Inner Sunset,1875000.0,3,6.0,2.0,33.0,104.0
201803,Glen Park,Glen Park,1985000.0,14,36.0,11.0,12.0,115.7
201803,Golden Gate Heights,Inner Sunset,1680000.0,14,22.0,3.0,16.0,122.6
201803,Haight Ashbury,Haight Ashbury,1925000.0,4,7.0,2.0,12.0,109.0
201803,Hayes Valley,Hayes Valley,1499000.0,6,9.0,3.0,69.0,104.7
201803,Holly Park,Bernal Heights,1749000.0,5,12.0,2.0,16.0,110.3
201803,Hunters Point,Bayview Hunters Point,745000.0,21,16.0,13.0,30.0,100.1
201803,India Basin,Bayview Hunters Point,585000.0,1,1.0,0.0,18.0,97.7
201803,Ingleside,Oceanview/Merced/Ingleside,1225000.0,8,11.0,0.0,17.0,115.8
201803,Ingleside Terraces,West of Twin Peaks,2100000.0,3,4.0,0.0,14.0,113.8
201803,Inner Richmond,Inner Richmond,1735000.0,32,37.0,7.0,32.0,103.45
201803,Inner Sunset,Inner Sunset,1575000.0,10,17.0,5.0,16.0,116.1
201803,Japantown,Japantown,2190000.0,3,2.0,1.0,79.0,105.5
201803,Laguna Honda,West of Twin Peaks,1800000.0,3,4.0,0.0,15.0,109.2
201803,Lake Street,Seacliff,1555000.0,5,8.0,3.0,13.0,115.7
201803,Lakeshore,Lakeshore,1317000.0,3,1.0,0.0,63.0,114.5
201803,Laurel Heights / Jordan Park,Presidio Heights,1700000.0,8,12.0,1.0,9.0,113.7
201803,Little Hollywood,Bayview Hunters Point,894000.0,4,2.0,0.0,21.0,104.3
201803,Lone Mountain,Lone Mountain/USF,2210000.0,1,5.0,2.0,18.0,110.8
201803,Lower Haight,Hayes Valley,1346000.0,10,9.0,3.0,38.0,108.3
201803,Lower Nob Hill,Nob Hill,805000.0,13,15.0,6.0,34.0,104.5
201803,Lower Pacific Heights,Japantown,1529000.0,23,24.0,6.0,23.0,102.0
201803,Marina,Marina,2591000.0,34,50.0,11.0,13.0,109.75
201803,Merced Manor,Sunset/Parkside,1550000.0,3,3.0,0.0,16.0,124.3
201803,Midtown Terrace,Twin Peaks,1420000.0,1,5.0,1.0,17.0,118.8
201803,Miraloma Park,West of Twin Peaks,1900000.0,9,13.0,2.0,14.0,126.3
201803,Mission,Mission,1278000.0,48,55.0,16.0,34.0,102.4
201803,Mission Bay,Mission Bay,1600000.0,41,65.0,28.0,25.0,106.9
201803,Mission Dolores,Mission,1356000.0,16,20.0,4.0,29.0,106.7
201803,Mission Terrace,Outer Mission,1216000.0,13,13.0,3.0,15.0,119.5
201803,Monterey Heights,West of Twin Peaks,2780000.0,2,5.0,2.0,13.0,127.8
201803,Mt. Davidson Manor,West of Twin Peaks,2050000.0,3,3.0,1.0,14.0,120.4
201803,Nob Hill,Nob Hill,1450000.0,13,26.0,25.0,103.0,99.7
201803,Noe Valley,Noe Valley,2150000.0,57,73.0,16.0,14.0,114.4
201803,North Beach,North Beach,916000.0,8,15.0,7.0,14.0,109.2
201803,Northern Waterfront,Financial District/South Beach,1205000.0,3,4.0,1.0,135.0,95.7
201803,Oceanview,Oceanview/Merced/Ingleside,910000.0,11,15.0,11.0,21.0,120.6
201803,Outer Mission,Outer Mission,1060000.0,5,7.0,2.0,15.0,115.8
201803,Outer Richmond,Outer Richmond,1650000.0,24,54.0,26.0,23.0,110.3
201803,Outer Sunset,Sunset/Parkside,1380000.0,45,66.0,22.0,15.0,122.6
201803,Pacific Heights,Pacific Heights,1725000.0,45,71.0,29.0,22.0,104.5
201803,Panhandle,Lone Mountain/USF,1580000.0,13,12.0,4.0,41.0,106.9
201803,Parkside,Sunset/Parkside,1350000.0,13,16.0,3.0,13.0,123.5
201803,Parnassus Heights,Lone Mountain/USF,1700000.0,5,7.0,1.0,46.0,108.5
201803,Peralta Heights,Bernal Heights,1654000.0,4,8.0,4.0,18.0,125.2
201803,Polk Gulch,Russian Hill,1095000.0,5,8.0,5.0,14.0,110.0
201803,Portola,Portola,1115000.0,10,12.0,4.0,16.0,116.5
201803,Potrero Hill,Potrero Hill,1600000.0,19,38.0,12.0,31.0,108.9
201803,Presidio Heights,Presidio Heights,2600000.0,13,17.0,5.0,31.0,105.0
201803,Presidio Terrace,Inner Richmond,1650000.0,3,5.0,2.0,24.0,100.7
201803,Rincon Hill,Financial District/South Beach,1570000.0,79,147.0,96.0,76.0,100.4
201803,Russian Hill,Russian Hill,2400000.0,21,51.0,28.0,28.0,99.6
